x_parameter,dataset,competitor,metric
0.1,BME,proba_threshold,1.4699582735353387
0.1,ChilledWaterPredictor,dqn,2.8931263404242453
0.1,ChilledWaterPredictor,dqn_sr,2.864237396515644
0.1,ChilledWaterPredictor,stopping_rule,2.882654049310641
0.1,ChilledWaterPredictor,proba_threshold,2.8931263404242453
0.1,Chinatown,dqn,1.8586537494620132
0.1,Chinatown,dqn_sr,1.9097327406338178
0.1,Chinatown,stopping_rule,1.8586537494620132
0.1,Chinatown,proba_threshold,1.8586537494620132
0.1,Crop,dqn,1.825497357065732
0.1,Crop,dqn_sr,1.6764076340828862
0.1,Crop,stopping_rule,1.6539898419905217
0.1,Crop,proba_threshold,1.6764076340828862
0.1,DhakaHourlyAirQuality,dqn,2.0335797273332927
0.1,DhakaHourlyAirQuality,dqn_sr,2.2648637073603117
0.1,DhakaHourlyAirQuality,stopping_rule,2.0335797273332927
0.1,DhakaHourlyAirQuality,proba_threshold,2.0335797273332927
0.1,DodgerLoopDay,dqn,2.151587086476911
0.1,DodgerLoopDay,dqn_sr,2.2481222863199375
0.1,DodgerLoopDay,stopping_rule,1.8207171162286315
0.1,DodgerLoopDay,proba_threshold,2.2637457810109693
0.1,ElectricityPredictor,dqn,3.168282897947953
0.1,ElectricityPredictor,dqn_sr,3.168282897947953
0.1,ElectricityPredictor,stopping_rule,3.168282897947953
0.1,ElectricityPredictor,proba_threshold,3.168282897947953
0.1,EOGVerticalSignal,dqn,1.9507182480610141
0.1,EOGVerticalSignal,dqn_sr,1.9507182480610141
0.1,EOGVerticalSignal,stopping_rule,1.9507182480610141
0.1,EOGVerticalSignal,proba_threshold,1.9507182480610141
0.1,FloodModeling3,dqn,3.051738791480646
0.1,FloodModeling3,dqn_sr,4.2069780428780135
0.1,FloodModeling3,stopping_rule,3.051738791480646
0.1,FloodModeling3,proba_threshold,3.051738791480646
0.1,GestureMidAirD1,dqn,1.6144054196343582
0.1,GestureMidAirD1,dqn_sr,1.6144054196343582
0.1,GestureMidAirD1,stopping_rule,1.6144054196343582
0.1,GestureMidAirD1,proba_threshold,1.6144054196343582
0.1,GunPointAgeSpan,dqn,2.1391650089899636
0.1,GunPointAgeSpan,dqn_sr,1.7946965561418313
0.1,GunPointAgeSpan,stopping_rule,2.28547717214949
0.1,GunPointAgeSpan,proba_threshold,2.886349757956731
0.1,HouseholdPowerConsumption1,dqn,3.2176399925939414
0.1,HouseholdPowerConsumption1,dqn_sr,3.099436936867883
0.1,HouseholdPowerConsumption1,stopping_rule,3.313867773744375
0.1,HouseholdPowerConsumption1,proba_threshold,3.223793168100573
0.1,HouseTwenty,dqn,2.495420784329118
0.1,HouseTwenty,dqn_sr,1.8895076842523606
0.1,HouseTwenty,stopping_rule,1.7572803880387802
0.1,HouseTwenty,proba_threshold,2.438981874696035
0.1,HotwaterPredictor,dqn,2.5678597284472153
0.1,HotwaterPredictor,dqn_sr,2.5678597284472153
0.1,HotwaterPredictor,stopping_rule,2.664863722737015
0.1,HotwaterPredictor,proba_threshold,2.5678597284472153
0.1,InsectEPGRegularTrain,dqn,1.1413107479162534
0.1,InsectEPGRegularTrain,dqn_sr,1.1413107479162534
0.1,InsectEPGRegularTrain,stopping_rule,2.0866159527256563
0.1,InsectEPGRegularTrain,proba_threshold,1.1413107479162534
0.1,MadridPM10Quality_nmv,dqn,3.154710774495125
0.1,MadridPM10Quality_nmv,dqn_sr,3.169580370077381
0.1,MadridPM10Quality_nmv,stopping_rule,3.154710774495125
0.1,MadridPM10Quality_nmv,proba_threshold,3.154710774495125
0.1,MelbournePedestrian,dqn,3.2709504097628437
0.1,MelbournePedestrian,dqn_sr,1.6952395243461011
0.1,MelbournePedestrian,stopping_rule,1.6952395243461011
0.1,MelbournePedestrian,proba_threshold,1.6952395243461011
0.1,ParkingBirmingham_eq,dqn,3.2605961961921053
0.1,ParkingBirmingham_eq,dqn_sr,3.2605961961921053
0.1,ParkingBirmingham_eq,stopping_rule,3.2605961961921053
0.1,ParkingBirmingham_eq,proba_threshold,3.2605961961921053
0.1,PLAID,dqn,1.4921672873475271
0.1,PLAID,dqn_sr,1.4077727940172176
0.1,PLAID,stopping_rule,1.665431041084065
0.1,PLAID,proba_threshold,1.3715162895357296
0.1,PrecipitationAndalusia_nmv,dqn,2.630438947284867
0.1,PrecipitationAndalusia_nmv,dqn_sr,2.6204268226049927
0.1,PrecipitationAndalusia_nmv,stopping_rule,2.630438947284867
0.1,PrecipitationAndalusia_nmv,proba_threshold,2.630438947284867
0.1,Rock,dqn,2.5821206074735508
0.1,Rock,dqn_sr,1.8464526546097129
0.1,Rock,stopping_rule,2.0544853582368283
0.1,Rock,proba_threshold,2.745436472222084
0.1,SemgHandGenderCh2,dqn,2.7232892808711604
0.1,SemgHandGenderCh2,dqn_sr,2.6738000638203876
0.1,SemgHandGenderCh2,stopping_rule,2.674970989816248
0.1,SemgHandGenderCh2,proba_threshold,2.6273428545076833
0.1,SmoothSubspace,dqn,2.9317540851240067
0.1,SmoothSubspace,dqn_sr,2.9317540851240067
0.1,SmoothSubspace,stopping_rule,2.9317540851240067
0.1,SmoothSubspace,proba_threshold,2.9317540851240067
0.1,SolarRadiationAndalusia_nmv,dqn,3.173508254215559
0.1,SolarRadiationAndalusia_nmv,dqn_sr,3.176395634739069
0.1,SolarRadiationAndalusia_nmv,stopping_rule,3.177839325000824
0.1,SolarRadiationAndalusia_nmv,proba_threshold,3.173508254215559
0.1,SteamPredictor,dqn,3.1518219925981588
0.1,SteamPredictor,dqn_sr,3.434245387316923
0.1,SteamPredictor,stopping_rule,3.177547541332712
0.1,SteamPredictor,proba_threshold,3.1748958958900713
0.1,TetuanEnergyConsumption,dqn,3.164212880331576
0.1,TetuanEnergyConsumption,dqn_sr,5.96931584125279
0.1,TetuanEnergyConsumption,stopping_rule,3.164212880331576
0.1,TetuanEnergyConsumption,proba_threshold,3.164212880331576
0.1,UMD,dqn,3.151098349214321
0.1,UMD,dqn_sr,3.00965065660763
0.1,UMD,stopping_rule,3.10599474236242
0.1,UMD,proba_threshold,3.151098349214321
0.1,WindTurbinePower,dqn,3.0393279317010475
0.1,WindTurbinePower,dqn_sr,3.1545821985133955
0.1,WindTurbinePower,stopping_rule,3.1545821985133955
0.1,WindTurbinePower,proba_threshold,3.1545821985133955
0.2,AcousticContaminationMadrid_nmv,dqn,4.663523078403781
0.2,AcousticContaminationMadrid_nmv,dqn_sr,4.9311697311635605
0.2,AcousticContaminationMadrid_nmv,stopping_rule,4.663523078403781
0.2,AcousticContaminationMadrid_nmv,proba_threshold,4.663523078403781
0.2,AluminiumConcentration,dqn,5.015827940534316
0.2,AluminiumConcentration,dqn_sr,5.999739851214372
0.2,AluminiumConcentration,stopping_rule,5.029947801503326
0.2,AluminiumConcentration,proba_threshold,5.029947801503326
0.2,BitcoinSentiment,dqn,4.002239414097656
0.2,BitcoinSentiment,dqn_sr,4.246623528031138
0.2,BitcoinSentiment,stopping_rule,4.026045507769673
0.2,BitcoinSentiment,proba_threshold,4.002239414097656
0.2,BME,dqn,1.354529628204829
0.2,BME,dqn_sr,1.3748911409085005
0.2,BME,stopping_rule,1.3748911409085005
0.2,BME,proba_threshold,1.3647103845566646
0.2,ChilledWaterPredictor,dqn,4.506450466850536
0.2,ChilledWaterPredictor,dqn_sr,4.7280642830634685
0.2,ChilledWaterPredictor,stopping_rule,4.763210889888702
0.2,ChilledWaterPredictor,proba_threshold,4.405685101278843
